id,grandeur,valeur,ic_bas,ic_haut,methode_ic,n_replicats,graine,script,commit,csv_source,statut
defense-d4-aggravation-ecart-humain,"Aggravation de l'ecart aux correlations humaines sous D4, en pourcentage relatif : 5,775446 -> 9,708522 (colonne erreur_correlations_hum), soit +68,0999 %. GRANDEUR DERIVEE, presente dans aucun CSV. Graphie non unifiee dans le depot : 68,1 % au manuscrit et dans article-synthese.md, 68 % dans c7-defense-resultats.md",68.1,ABSENT,ABSENT,"SANS OBJET — aucun IC sur les deux niveaux, aucune propagation d'incertitude sur le rapport",1 (les deux niveaux sont deterministes),"20260911 ; rng [20260911, 104]",ABSENT — le ratio n'est produit par aucun script ; calcule a la main a la redaction depuis deux cellules du CSV,c1d68b9,resultats/c7-defense-resultats.csv (les deux niveaux ; pas le rapport),provisoire
factoriel-BM-modele-top1,"Factoriel un-facteur-a-la-fois, contraste B<->M (modele seul), top-1 monde ferme, pool 120, hasard 0,83 % ; valeur exacte 0,006666667. Le manuscrit (l.627) cite ce taux SANS son IC. INTERPRETATION INVALIDEE le 12/09 (les jumeaux M/G/P ne reidentifient qu'au taux du hasard avant manipulation) ; la mesure brute reste exacte",0.67,0.00,1.75,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; attaques [20260912, crc32(B<->M)] ; bootstrap top1 [20260912, crc32(nom), 11]",analyses/c7_factoriel.py,ee73f70,resultats/c7-factoriel.csv,courant
factoriel-BG-gabarit-top1,"Factoriel un-facteur-a-la-fois, contraste B<->G (gabarit seul), top-1 monde ferme, pool 120 ; valeur exacte 0,008333333 — egale au hasard 1/120. Manuscrit l.627 sans IC. INTERPRETATION INVALIDEE (voir factoriel-BM-modele-top1)",0.83,0.00,2.08,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; attaques [20260912, crc32(B<->G)] ; bootstrap top1 [20260912, crc32(nom), 11]",analyses/c7_factoriel.py,ee73f70,resultats/c7-factoriel.csv,courant
factoriel-BP-persona-top1,"Factoriel un-facteur-a-la-fois, contraste B<->P (persona seule), top-1 monde ferme, pool 120 ; valeur exacte 0,026458333. La borne haute publiee 5,13 est un arrondi demi-vers-le-haut de 5,125 (round() Python donnerait 5,12). Manuscrit l.627 sans IC. INTERPRETATION INVALIDEE",2.65,0.50,5.13,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; attaques [20260912, crc32(B<->P)] ; bootstrap top1 [20260912, crc32(nom), 11]",analyses/c7_factoriel.py,ee73f70,resultats/c7-factoriel.csv,courant
factoriel-demo-top1-pool120,"Baseline demographique seule, top-1 monde ferme, pool 120 (recalculee pour le factoriel) ; valeur exacte 0,132916667. NE PAS FUSIONNER avec la baseline demographique sur pool 200 (9,2 % [5,5 ; 13,4]) : meme grandeur, deux tailles de pool",13.29,7.46,19.29,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; [20260912, crc32(Demographics Only), 14, 120]",analyses/c7_factoriel.py,ee73f70,resultats/c7-factoriel.csv,courant
loi-distance-decodage-top1-d1,"Loi de distance, facteur decodage seul (d=1), top-1 monde ferme, Twin-2K-500, pool 2058, 60 items communs, attaque symetrique ; valeur exacte 0,814176385",81.4,80.0,82.8,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; bootstrap [20260912, crc32(jeu|a|b)]",analyses/c7_loi_distance.py,4ada4ac,resultats/c7-loi-distance.csv,courant
loi-distance-gabarit-top1-d1,"Loi de distance, facteur gabarit seul (d=1), top-1 monde ferme, Twin-2K-500, pool 2058 ; valeur exacte 0,670493197. Borne haute publiee 68,7 par TRONCATURE de 68,73",67.1,65.3,68.7,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; bootstrap [20260912, crc32(jeu|a|b)]",analyses/c7_loi_distance.py,4ada4ac,resultats/c7-loi-distance.csv,courant
loi-distance-raisonnement-top1-d1,"Loi de distance, facteur raisonnement seul (d=1), top-1 monde ferme, Twin-2K-500, pool 2058 ; valeur exacte 0,335374150. ATTENTION : la borne basse 31,6 (0,316067481) n'a AUCUN rapport avec temoin-marge-top1-json41-marginal (31,6 %) — coincidence fortuite a deux decimales",33.5,31.6,35.3,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; bootstrap [20260912, crc32(jeu|a|b)]",analyses/c7_loi_distance.py,4ada4ac,resultats/c7-loi-distance.csv,courant
loi-distance-modele-top1-d1,"Loi de distance, facteur modele seul (d=1), top-1 monde ferme, Twin-2K-500, pool 2058 ; valeur exacte 0,171914480. Borne basse de l'etendue citee l.144 (17,2 % a 81,4 %)",17.2,15.8,18.6,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; bootstrap [20260912, crc32(jeu|a|b)]",analyses/c7_loi_distance.py,4ada4ac,resultats/c7-loi-distance.csv,courant
deux-organisations-BC-top1,"Top-1 monde ferme, attaque symetrique B<->C (deux pipelines independants de bout en bout), n=142, pool 142, 60 items ; valeur exacte 0,017605634. CONFLIT DE GRAPHIE : le manuscrit (l.148, 326, 596, 914) ecrit 1,8 % [0,4 ; 3,6], les rapports 1,76 % [0,35 ; 3,63] — la ligne porte la graphie des rapports. BRAS NON INTERPRETABLE : B et C ne reidentifient qu'au taux du hasard avant manipulation (c7-reconciliation-facteurs-2026-09-12.md §3)",1.76,0.35,3.63,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),1 passe ; 20 tirages de departage des ex aequo ; 2000 tirages bootstrap,"20260912 ; attaques [20260912, crc32(B<->C)] et [20260912, crc32(C<->B)] ; bootstrap top1 [20260912, 11]",analyses/c7_deux_organisations.py,09b18d7,resultats/c7-deux-organisations.csv l.2,courant
