item,classe_norc,s1_norc,domaine,s2_points,niveau_s2,source_s2,s3_composite,type
suicide3,non teste,,,,,domaine non mesure par corpus/04,,binaire
suicide4,temoin,0.000000,,,,domaine non mesure par corpus/04,,binaire
pornlaw,temoin,0.000000,conduite sexuelle,6.000000,[PROBABLE],"Gnambs et Kaspar 2015, corpus 04-14 : Omega = 1,29 sur les comportements sexuels ; Tourangeau et Yan 2007, corpus 04-03",0.423077,ordinal 3 et plus
fair,non teste,,,,,domaine non mesure par corpus/04,,ordinal 3 et plus
helpful,non teste,,,,,domaine non mesure par corpus/04,,ordinal 3 et plus
trust,non teste,,,,,domaine non mesure par corpus/04,,ordinal 3 et plus
tax,non teste,,,,,domaine non mesure par corpus/04,,ordinal 3 et plus
vote16,sensible,2.000000,vote declare,15.800000,[CONFIRME],"Ansolabehere et Hersh 2012, corpus 04-20 : 84,3 pour cent declare contre 68,5 valide",0.974359,nominal
pres16,temoin,0.000000,choix de candidat,0.000000,[CONFIRME],Coppock 2017 corpus 04-30 et AAPOR 2021 corpus 04-31 : aucun electeur cache detecte. Zero est ici un resultat mesure,0.185897,nominal
if16who,investiguer,1.000000,choix de candidat,0.000000,[CONFIRME],Coppock 2017 corpus 04-30 et AAPOR 2021 corpus 04-31 : aucun electeur cache detecte. Zero est ici un resultat mesure,0.410256,nominal
news,investiguer,1.000000,,,,domaine non mesure par corpus/04,,ordinal 3 et plus
jew,non teste,,,,,domaine non mesure par corpus/04,,nominal
relig16*,non teste,,,,,domaine non mesure par corpus/04,,nominal
jew16*,non teste,,,,,domaine non mesure par corpus/04,,nominal
attend,sensible,2.000000,religion,10.000000,[PROBABLE],"Presser et Stinson 1998, corpus 04-13 : un tiers de pratique hebdomadaire en moins sans enqueteur, soit environ 10 points sur la base americaine ; NORC 04-18 confirme la direction",0.814103,ordinal 3 et plus
pray,investiguer,1.000000,religion,10.000000,[PROBABLE],"Presser et Stinson 1998, corpus 04-13 : un tiers de pratique hebdomadaire en moins sans enqueteur, soit environ 10 points sur la base americaine ; NORC 04-18 confirme la direction",0.737179,ordinal 3 et plus
postlife,non teste,,religion,10.000000,[PROBABLE],"Presser et Stinson 1998, corpus 04-13 : un tiers de pratique hebdomadaire en moins sans enqueteur, soit environ 10 points sur la base americaine ; NORC 04-18 confirme la direction",,binaire
bible,non teste,,religion,10.000000,[PROBABLE],"Presser et Stinson 1998, corpus 04-13 : un tiers de pratique hebdomadaire en moins sans enqueteur, soit environ 10 points sur la base americaine ; NORC 04-18 confirme la direction",,ordinal 3 et plus
reborn,investiguer,1.000000,religion,10.000000,[PROBABLE],"Presser et Stinson 1998, corpus 04-13 : un tiers de pratique hebdomadaire en moins sans enqueteur, soit environ 10 points sur la base americaine ; NORC 04-18 confirme la direction",0.737179,nominal
savesoul,investiguer,1.000000,religion,10.000000,[PROBABLE],"Presser et Stinson 1998, corpus 04-13 : un tiers de pratique hebdomadaire en moins sans enqueteur, soit environ 10 points sur la base americaine ; NORC 04-18 confirme la direction",0.737179,binaire
granborn,non teste,,,,,domaine non mesure par corpus/04,,ordinal 3 et plus
uscitzn*,non teste,,,,,domaine non mesure par corpus/04,,binaire
fucitzn,non teste,,,,,domaine non mesure par corpus/04,,nominal
mnthsusa,non teste,,,,,domaine non mesure par corpus/04,,nominal
income,non teste,,revenu et statut,8.000000,[PROBABLE],"Tourangeau et Yan 2007, corpus 04-03 : le revenu est un item sensible classique ; Kreuter, Presser et Tourangeau 2008, corpus 04-11 : 25 points sur un fait scolaire embarrassant et une non reponse a l'item multipliee par sept au telephone",,ordinal 3 et plus
othlang,temoin,0.000000,,,,domaine non mesure par corpus/04,,binaire
health,temoin,0.000000,satisfaction et bien etre,5.500000,[PROBABLE],"Pew 2015, corpus 04-15 : ecart moyen de 5,5 points sur 60 questions, les plus gros ecarts du panneau etant sur la satisfaction, 18 et 14 points",0.352564,ordinal 3 et plus
compuse*,temoin,0.000000,,,,domaine non mesure par corpus/04,,binaire
webmob,non teste,,,,,domaine non mesure par corpus/04,,binaire
xmovie,non teste,,conduite sexuelle,6.000000,[PROBABLE],"Gnambs et Kaspar 2015, corpus 04-14 : Omega = 1,29 sur les comportements sexuels ; Tourangeau et Yan 2007, corpus 04-03",,binaire
usewww*,non teste,,,,,domaine non mesure par corpus/04,,binaire
life,temoin,0.000000,satisfaction et bien etre,5.500000,[PROBABLE],"Pew 2015, corpus 04-15 : ecart moyen de 5,5 points sur 60 questions, les plus gros ecarts du panneau etant sur la satisfaction, 18 et 14 points",0.352564,ordinal 3 et plus
richwork,temoin,0.000000,,,,domaine non mesure par corpus/04,,binaire
