configuration,echelle_a,echelle_b,n_paires,r_absolu_humain,r_absolu_agent,exces_moyen
gpt41_json,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0432,-0.0554
gpt41_json_predout,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.8632,0.4569
gpt41_json_predout,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.1111,0.0103
gpt41_json_predout,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.0529,-0.0216
gpt41_json_predout,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.7458,0.548
gpt41_json_predout,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0412,0.0153
gpt41_json_predout,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.2767,0.0659
gpt41_json_predout,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.1343,-0.016
gpt41_json_predout,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.0971,0.0571
gpt41_json_predout,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0397,0.0062
gpt41_json_predout,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.0431,-0.2097
gpt41_json_predout,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.0498,0.0028
gpt41_json_predout,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0181,-0.0023
gpt41_json_predout,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.7143,0.3889
gpt41_json_predout,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0303,-0.008
gpt41_json_predout,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0509,-0.0477
gpt41mini_defaut,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.7417,0.3354
gpt41mini_defaut,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.1496,0.0489
gpt41mini_defaut,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.2396,0.165
gpt41mini_defaut,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.7231,0.5253
gpt41mini_defaut,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0218,-0.0041
gpt41mini_defaut,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.2864,0.0756
gpt41mini_defaut,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.1498,-0.0005
gpt41mini_defaut,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.1552,0.1153
gpt41mini_defaut,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0326,-0.0009
gpt41mini_defaut,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.3862,0.1333
gpt41mini_defaut,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.2312,0.1842
gpt41mini_defaut,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0227,0.0024
gpt41mini_defaut,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.7119,0.3865
gpt41mini_defaut,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0246,-0.0138
gpt41mini_defaut,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0293,-0.0693
gpt41mini_demo_seules,QID198_appariement_1,QID198_appariement_1,3,0.1094,0.334,0.2246
gpt41mini_demo_seules,QID287_soutien_politiques,QID198_appariement_1,30,0.0327,0.0363,0.0036
gpt41mini_demo_seules,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.5447,0.1384
gpt41mini_demo_seules,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.0546,-0.0461
gpt41mini_demo_seules,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.0817,0.0072
gpt41mini_demo_seules,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.5453,0.3474
gpt41mini_demo_seules,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0474,0.0215
gpt41mini_demo_seules,QID288_benefice_percu,QID198_appariement_1,12,0.0557,0.0116,-0.0441
gpt41mini_demo_seules,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.1689,-0.042
gpt41mini_demo_seules,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.0844,-0.0659
gpt41mini_demo_seules,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.0492,0.0092
gpt41mini_demo_seules,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0245,-0.009
gpt41mini_demo_seules,QID289_risque_percu,QID198_appariement_1,12,0.0328,0.022,-0.0109
gpt41mini_demo_seules,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.4073,0.1544
gpt41mini_demo_seules,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.0703,0.0233
gpt41mini_demo_seules,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0199,-0.0005
gpt41mini_demo_seules,QID290_consensus_percu,QID198_appariement_1,30,0.028,0.0409,0.0128
gpt41mini_demo_seules,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.6123,0.2869
gpt41mini_demo_seules,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0526,0.0142
gpt41mini_demo_seules,QID9_intention_achat,QID198_appariement_1,120,0.0371,0.0337,-0.0034
gpt41mini_demo_seules,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.1234,0.0248
gpt41mini_finetune500,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.9245,0.5182
gpt41mini_finetune500,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.5986,0.4978
gpt41mini_finetune500,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.503,0.4284
gpt41mini_finetune500,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.8569,0.659
gpt41mini_finetune500,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.3256,0.2997
gpt41mini_finetune500,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.8214,0.6105
gpt41mini_finetune500,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.7702,0.6199
gpt41mini_finetune500,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.5989,0.559
gpt41mini_finetune500,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.2377,0.2042
gpt41mini_finetune500,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.9776,0.7248
gpt41mini_finetune500,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.5121,0.4651
gpt41mini_finetune500,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.2048,0.1845
gpt41mini_finetune500,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.9638,0.6384
gpt41mini_finetune500,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.3129,0.2745
gpt41mini_finetune500,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.8701,0.7716
gpt41mini_json,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.7604,0.354
gpt41mini_json,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.1459,0.0451
gpt41mini_json,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.0759,0.0014
gpt41mini_json,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.601,0.4031
gpt41mini_json,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0364,0.0105
gpt41mini_json,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.2899,0.0791
gpt41mini_json,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.1242,-0.0261
gpt41mini_json,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.2281,0.1881
gpt41mini_json,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.1002,0.0667
gpt41mini_json,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.0765,-0.1764
gpt41mini_json,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.1234,0.0765
gpt41mini_json,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0568,0.0365
gpt41mini_json,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.611,0.2856
gpt41mini_json,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.075,0.0366
gpt41mini_json,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0851,-0.0134
gpt41mini_json_predout,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.6341,0.2278
gpt41mini_json_predout,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.197,0.0963
gpt41mini_json_predout,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.0781,0.0035
gpt41mini_json_predout,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.6431,0.4453
gpt41mini_json_predout,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0327,0.0068
gpt41mini_json_predout,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.1891,-0.0218
gpt41mini_json_predout,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.0917,-0.0586
gpt41mini_json_predout,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.1968,0.1568
gpt41mini_json_predout,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0321,-0.0015
gpt41mini_json_predout,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.1753,-0.0776
gpt41mini_json_predout,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.0775,0.0306
gpt41mini_json_predout,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.02,-0.0004
gpt41mini_json_predout,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.6129,0.2875
gpt41mini_json_predout,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0329,-0.0055
gpt41mini_json_predout,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0373,-0.0613
gpt41mini_resume,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.5101,0.1038
gpt41mini_resume,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.0647,-0.036
gpt41mini_resume,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.1386,0.0641
gpt41mini_resume,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.581,0.3831
gpt41mini_resume,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0597,0.0338
gpt41mini_resume,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.242,0.0311
gpt41mini_resume,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.1047,-0.0456
gpt41mini_resume,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.0762,0.0362
gpt41mini_resume,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0196,-0.014
gpt41mini_resume,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.3709,0.1181
gpt41mini_resume,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.1612,0.1143
gpt41mini_resume,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0254,0.0051
gpt41mini_resume,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.6424,0.3171
gpt41mini_resume,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0651,0.0267
gpt41mini_resume,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.1409,0.0423
gpt41mini_resume_json,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.4663,0.06
gpt41mini_resume_json,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.045,-0.0557
gpt41mini_resume_json,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.0555,-0.0191
gpt41mini_resume_json,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.4797,0.2819
gpt41mini_resume_json,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0539,0.0279
gpt41mini_resume_json,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.268,0.0572
gpt41mini_resume_json,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.1402,-0.0102
gpt41mini_resume_json,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.0674,0.0274
gpt41mini_resume_json,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0344,0.0009
gpt41mini_resume_json,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.5009,0.2481
gpt41mini_resume_json,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.0736,0.0267
gpt41mini_resume_json,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0209,0.0005
gpt41mini_resume_json,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.5541,0.2287
gpt41mini_resume_json,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0555,0.0172
gpt41mini_resume_json,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.2754,0.1768
gpt41mini_texte_raisonnement,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.7556,0.3493
gpt41mini_texte_raisonnement,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.1804,0.0797
gpt41mini_texte_raisonnement,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.1,0.0254
gpt41mini_texte_raisonnement,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.6874,0.4895
gpt41mini_texte_raisonnement,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0191,-0.0069
gpt41mini_texte_raisonnement,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.2437,0.0328
gpt41mini_texte_raisonnement,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.0721,-0.0782
gpt41mini_texte_raisonnement,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.1646,0.1246
gpt41mini_texte_raisonnement,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0321,-0.0015
gpt41mini_texte_raisonnement,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.1991,-0.0538
gpt41mini_texte_raisonnement,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.0907,0.0438
gpt41mini_texte_raisonnement,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0194,-0.0009
gpt41mini_texte_raisonnement,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.7064,0.381
gpt41mini_texte_raisonnement,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0199,-0.0185
gpt41mini_texte_raisonnement,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0605,-0.0381
gpt41mini_texte_repetition,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.7886,0.3822
gpt41mini_texte_repetition,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.1788,0.0781
gpt41mini_texte_repetition,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.1657,0.0911
gpt41mini_texte_repetition,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.7611,0.5633
gpt41mini_texte_repetition,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0315,0.0055
gpt41mini_texte_repetition,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.2222,0.0113
gpt41mini_texte_repetition,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.1061,-0.0442
gpt41mini_texte_repetition,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.1747,0.1347
gpt41mini_texte_repetition,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0338,0.0002
gpt41mini_texte_repetition,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.1895,-0.0634
gpt41mini_texte_repetition,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.1527,0.1058
gpt41mini_texte_repetition,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.019,-0.0013
gpt41mini_texte_repetition,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.7635,0.4381
gpt41mini_texte_repetition,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0325,-0.0059
gpt41mini_texte_repetition,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0324,-0.0662
gpt41mini_texte_temp_defaut,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.7318,0.3255
gpt41mini_texte_temp_defaut,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.1331,0.0324
gpt41mini_texte_temp_defaut,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.1759,0.1014
gpt41mini_texte_temp_defaut,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.7056,0.5078
gpt41mini_texte_temp_defaut,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0216,-0.0044
gpt41mini_texte_temp_defaut,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.1972,-0.0137
gpt41mini_texte_temp_defaut,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.0992,-0.0511
gpt41mini_texte_temp_defaut,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.1311,0.0911
gpt41mini_texte_temp_defaut,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0242,-0.0094
gpt41mini_texte_temp_defaut,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.2378,-0.0151
gpt41mini_texte_temp_defaut,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.1706,0.1237
gpt41mini_texte_temp_defaut,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0162,-0.0041
gpt41mini_texte_temp_defaut,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.6994,0.3741
gpt41mini_texte_temp_defaut,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0224,-0.016
gpt41mini_texte_temp_defaut,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0294,-0.0692
