item,n_personnes,n_changeurs,taux_changement,derive_nette_tv,part_dirigee,n_monotone,n_contraire,n_indetermine,part_monotone_du_changement,part_contraire_du_changement,exces_monotone,perimetre,libelle,taux_changement_2sem,surcroit_sur_plancher_stanford,nul_part_monotone,nul_part_contraire,nul_taux_changement,exces_monotone_nul
cappun,4268.0,786.0,0.18416119962511715,0.0238987816307404,0.12977099236641224,444.0,342.0,0.0,0.5648854961832062,0.4351145038167939,0.1297709923664122,4 ans,Do you favor or oppose the death penalty for persons convicted of murder?,0.12737642585551334,0.05678477376960381,0.5621908519979992,0.4314455621630634,0.16863167760074976,0.13074528983493583
class,4627.0,1431.0,0.3092716663064621,0.026366976442619414,0.08525506638714188,542.0,440.0,449.0,0.3787561146051712,0.3074772886093641,0.07127882599580712,4 ans,"If you were asked to use one of four names for your social class, which would you say you belong in: the lower",0.1986692015209125,0.11060246478554958,0.3823554077097252,0.3414586419925642,0.309254376485844,0.040896765717161
colath,2956.0,750.0,0.25372124492557513,0.02774018944519623,0.1093333333333334,416.0,334.0,0.0,0.5546666666666666,0.44533333333333336,0.10933333333333334,4 ans,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebo",0.19771863117870725,0.05600261374686788,0.5209593203339331,0.44355290716540313,0.22935723951285522,0.07740641316852997
colcom/y,2871.0,974.0,0.3392546151166841,0.10623476140717521,0.3131416837782341,611.0,306.0,57.0,0.6273100616016427,0.3141683778234086,0.3131416837782341,4 ans,We would like to ask you some questions about a self-identified Communist. Suppose this person is teaching in ,0.20912547528517111,0.13012913983151297,0.624007656001914,0.2976053244013311,0.3202856147683734,0.3264023316005829
colhomo,2989.0,353.0,0.11809969889595183,0.025092004014720646,0.2124645892351275,214.0,139.0,0.0,0.6062322946175638,0.3937677053824363,0.21246458923512748,4 ans,What about a man who admits that he is a homosexual? Should such a person be allowed to teach in a college or ,0.06273764258555137,0.05536205631040046,0.6109366823652538,0.38566195709052853,0.10229508196721311,0.22527472527472525
colrac,2969.0,959.0,0.323004378578646,0.05759514988211519,0.17831074035453598,565.0,394.0,0.0,0.5891553701772679,0.410844629822732,0.17831074035453598,4 ans,Consider a person who believes that Blacks are genetically inferior. Should such a person be allowed to teach ,0.21197718631178708,0.11102719226685892,0.5727132218631446,0.4256943468689991,0.28765240821825533,0.14701887499414545
conarmy,3105.0,1251.0,0.4028985507246377,0.05507246376811595,0.1366906474820144,462.0,291.0,498.0,0.36930455635491605,0.23261390887290168,0.1366906474820144,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.25760456273764254,0.14529398798699517,0.35024007682458386,0.24145326504481435,0.4024476650563607,0.10878681177976951
conbus,3073.0,1178.0,0.3833387569150667,0.05759843800846079,0.1502546689303905,474.0,297.0,407.0,0.40237691001697795,0.25212224108658743,0.1502546689303905,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.27851711026615966,0.10482164664890703,0.41431156898231936,0.27775650842266464,0.37399284087211193,0.13655506055965472
conclerg,3059.0,1188.0,0.38836220987250736,0.05393919581562602,0.1388888888888889,532.0,367.0,289.0,0.4478114478114478,0.30892255892255893,0.1388888888888889,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.24239543726235746,0.1459667726101499,0.4018032144257154,0.2931842585175464,0.38360902255639096,0.108618955908169
coneduc,3142.0,1290.0,0.4105665181413113,0.06142584341183959,0.14961240310077517,533.0,340.0,417.0,0.4131782945736434,0.26356589147286824,0.1496124031007752,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.3165399239543726,0.0940265941869387,0.422153163845337,0.26246174027109753,0.4076129853596435,0.1596914235742395
confed,3092.0,1598.0,0.5168175937904269,0.0630659767141009,0.12202753441802251,500.0,338.0,760.0,0.31289111389236546,0.21151439299123906,0.10137672090112641,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.2889733840304183,0.22784420976000863,0.3596824084858048,0.2768656622960263,0.5165006468305304,0.08281674618977847
confinan,3135.0,1490.0,0.47527910685805425,0.17448165869218502,0.36711409395973155,780.0,233.0,477.0,0.5234899328859061,0.1563758389261745,0.36711409395973155,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.2775665399239544,0.19771256693409983,0.5047413793103448,0.15785290948275862,0.4736204146730463,0.34688846982758614
conjudge,3065.0,1330.0,0.433931484502447,0.06492659053833606,0.14962406015037596,535.0,336.0,459.0,0.40225563909774437,0.25263157894736843,0.14962406015037594,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.27281368821292773,0.16111779628951928,0.4061981100745705,0.25523050448328954,0.43227406199021207,0.15096760559128097
conlabor,2950.0,1126.0,0.38169491525423727,0.02745762711864408,0.07193605683836593,329.0,300.0,497.0,0.2921847246891652,0.2664298401420959,0.02575488454706927,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.3079847908745247,0.07371012437971258,0.33538594501161345,0.29939321917931544,0.37653559322033897,0.03599272583229801
conlegis,3107.0,1257.0,0.40457032507241714,0.09784357901512714,0.24184566428003182,672.0,368.0,217.0,0.5346062052505967,0.29276054097056486,0.24184566428003182,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.26615969581749055,0.1384106292549266,0.5159861636440047,0.29895257491998833,0.398236240746701,0.2170335887240164
conmedic,3131.0,1360.0,0.434366017246886,0.041200894282976665,0.09485294117647054,516.0,476.0,368.0,0.37941176470588234,0.35,0.029411764705882353,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.28517110266159695,0.14919491458528905,0.3949688873160518,0.32320327936536025,0.4332034493771958,0.07176560795069153
conpress,3114.0,1274.0,0.4091201027617213,0.03339755940912011,0.08163265306122451,437.0,333.0,504.0,0.34301412872841447,0.26138147566718994,0.08163265306122448,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.26330798479087447,0.1458121179708468,0.3053324285511386,0.2468003850584689,0.40698137443802185,0.058532043492669716
consci,2975.0,1138.0,0.38252100840336134,0.030924369747899156,0.08084358523725833,324.0,350.0,464.0,0.28471001757469244,0.30755711775043937,-0.022847100175746926,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.24429657794676807,0.13822443045659327,0.37986821663898857,0.3535472580846771,0.37647731092436976,0.02632095855431149
contv,3120.0,1301.0,0.4169871794871795,0.040705128205128206,0.09761721752498079,479.0,522.0,300.0,0.3681783243658724,0.4012298232129131,-0.033051498847040735,4 ans,I am going to name some institutions in this country. As far as the people running these institutions are conc,0.3269961977186312,0.0899909817685483,0.4011904027632147,0.3241997162770616,0.4157179487179487,0.07699068648615309
courts,4098.0,1283.0,0.31307955100048807,0.04465592972181552,0.1426344505066251,467.0,407.0,409.0,0.36399064692127825,0.3172252533125487,0.04676539360872954,4 ans,"In general, do you think the courts in this area deal too harshly or not harshly enough with criminals?",0.24049429657794674,0.07258525442254132,0.39297572838235983,0.2824362032143915,0.31307467057101024,0.11053952516796833
discaff,2916.0,1340.0,0.45953360768175583,0.031207133058984916,0.06791044776119404,398.0,426.0,516.0,0.29701492537313434,0.31791044776119404,-0.020895522388059702,4 ans,What do you think the chances are these days that a white person won't get a job or promotion while an equally,0.2899239543726235,0.1696096533091323,0.35459553060950305,0.32993476540924627,0.45945816186556926,0.024660765200256785
discaffm,1459.0,843.0,0.5777930089102125,0.054146675805346156,0.09371293001186246,280.0,278.0,285.0,0.33214709371293,0.32977461447212336,0.002372479240806643,4 ans,What do you think the chances are these days that a man won't get a job or promotion while an equally or less ,0.41539923954372626,0.1623937693664862,0.3354922894424674,0.2919572953736655,0.5777930089102125,0.0435349940688019
discaffw,1523.0,783.0,0.5141168745896257,0.07747866053841101,0.1507024265644955,375.0,257.0,151.0,0.4789272030651341,0.3282247765006386,0.15070242656449553,4 ans,What do you think the chances are these days that a woman won't get a job or promotion while an equally or les,0.3887832699619772,0.12533360462764853,0.42282050627091367,0.296789190017625,0.5141037426132633,0.12603131625328867
divlaw,2827.0,1028.0,0.36363636363636365,0.08312698974177574,0.22859922178988326,446.0,211.0,371.0,0.433852140077821,0.20525291828793774,0.22859922178988326,4 ans,Should divorce in this country be easier or more difficult to obtain than it is now?,0.25285171102661597,0.11078465260974768,0.4215953307392996,0.20846303501945526,0.36363636363636365,0.21313229571984435
evwork,1225.0,58.0,0.0473469387755102,0.02612244897959182,0.5517241379310341,45.0,13.0,0.0,0.7758620689655172,0.22413793103448276,0.5517241379310345,4 ans,Did you ever work for as long as one year?,0.04562737642585557,0.0017195623496546325,0.797789602947196,0.2001637331150225,0.03988571428571429,0.5976258698321735
fair,3141.0,1029.0,0.32760267430754536,0.0560331104743712,0.1710398445092322,466.0,290.0,273.0,0.45286686103012636,0.2818270165208941,0.17103984450923226,4 ans,"Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair",0.31749049429657794,0.01011218001096742,0.44064699249582023,0.2850033049496481,0.3275262655205349,0.15564368754617214
fechld,3065.0,1504.0,0.49070146818923327,0.035889070146818934,0.07313829787234045,555.0,452.0,497.0,0.3690159574468085,0.300531914893617,0.06848404255319149,4 ans,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree with it: ""A working mother ca",0.3593155893536122,0.13138587883562108,0.352464793414806,0.2980491761858535,0.49069494290375204,0.054415617228952495
fefam,3040.0,1405.0,0.4621710526315789,0.048355263157894755,0.104626334519573,548.0,401.0,456.0,0.3900355871886121,0.28540925266903916,0.10462633451957296,4 ans,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree with it: ""It is much better f",0.3355513307984791,0.12661972183309983,0.3704056939501779,0.27965836298932384,0.4621710526315789,0.09074733096085408
fehire,1571.0,846.0,0.5385105028644176,0.06874602164226605,0.12765957446808507,289.0,206.0,351.0,0.3416075650118203,0.24349881796690306,0.09810874704491726,4 ans,"Please tell me whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree: ",0.42585551330798477,0.11265498955643283,0.3300236406619385,0.23515366430260048,0.5385105028644176,0.09486997635933803
fepol,2863.0,528.0,0.18442193503318197,0.03492839678658748,0.18939393939393934,314.0,214.0,0.0,0.5946969696969697,0.4053030303030303,0.1893939393939394,4 ans,Tell me if you agree or disagree with this statement: Most men are better suited emotionally for politics than,0.11026615969581754,0.07415577533736442,0.5851604220032128,0.40285677072027093,0.16090115263709395,0.1823036512829419
fepresch,3037.0,1365.0,0.44945670069147187,0.05037866315442868,0.11208791208791201,346.0,417.0,602.0,0.25347985347985347,0.3054945054945055,-0.05201465201465202,4 ans,"Please tell me whether you strongly agree, agree, disagree, or strongly disagree with it: ""A preschool child i",0.32604562737642584,0.12341107331504603,0.3202045511158,0.24144651046932467,0.44943694435297993,0.07875804064647532
finalter,4661.0,2474.0,0.5307873846813989,0.08324393906886937,0.15683104284559424,1038.0,650.0,786.0,0.4195634599838319,0.2627324171382377,0.15683104284559418,4 ans,"During the last few years, has your financial situation been getting better, worse, or has it stayed the same?",0.29372623574144485,0.237061148939954,0.4167744543249798,0.2693936944219887,0.5307873846813989,0.1473807599029911
finrela,4619.0,2044.0,0.4425200259796493,0.02229919896081403,0.05039138943248532,429.0,651.0,964.0,0.2098825831702544,0.3184931506849315,-0.1086105675146771,4 ans,"Compared with American families in general, would you say your family income is far below average, below avera",0.30703422053231944,0.13548580544732985,0.2639041095890411,0.2873972602739726,0.4425200259796493,-0.02349315068493152
getahead,3064.0,1125.0,0.36716710182767626,0.038838120104438635,0.10577777777777775,329.0,210.0,586.0,0.29244444444444445,0.18666666666666668,0.10577777777777778,4 ans,Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other ,0.2623574144486692,0.10480968737900703,0.2998222222222222,0.2514488888888889,0.36716710182767626,0.048373333333333324
grass,2799.0,518.0,0.1850660950339407,0.07145409074669523,0.386100386100386,359.0,159.0,0.0,0.693050193050193,0.30694980694980695,0.3861003861003861,4 ans,Do you think the use of marijuana should be made legal or not?,0.05038022813688203,0.13468586689705866,0.6774957378291343,0.3225042621708657,0.1508824580207217,0.3549914756582686
gunlaw,3013.0,627.0,0.20809824095585794,0.022236973116495175,0.10685805422647522,347.0,280.0,0.0,0.5534290271132376,0.44657097288676234,0.10685805422647528,4 ans,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could ,0.1625475285171103,0.04555071243874764,0.5385812292241319,0.4474856779121579,0.18770660471291073,0.091095551311974
hapmar,1985.0,561.0,0.2826196473551637,0.04080604534005036,0.14438502673796788,289.0,211.0,61.0,0.5151515151515151,0.3761140819964349,0.13903743315508021,4 ans,"Taking things all together, how would you describe your marriage? Would you say that your marriage is very hap",0.18250950570342206,0.10011014165174165,0.5132298432970017,0.37406877316598774,0.2745491183879093,0.13916107013101398
happy,4663.0,1950.0,0.4181857173493459,0.061548359425262704,0.14717948717948717,849.0,562.0,539.0,0.43538461538461537,0.2882051282051282,0.14717948717948717,4 ans,"Taken all together, how would you say things are these days--would you say that you are very happy, pretty hap",0.2671102661596958,0.1510754511896501,0.4014843830532935,0.27874445933408926,0.4160840660518979,0.12273992371920422
health,3092.0,1303.0,0.42141009055627426,0.045924967658473495,0.10897927858787416,308.0,307.0,688.0,0.23637759017651575,0.2356101304681504,0.0007674597083653108,4 ans,"Would you say your own health, in general, is excellent, good, fair, or poor?",0.20057034220532322,0.22083974835095105,0.3173955087568497,0.23788546255506607,0.4214036222509702,0.07951004620178362
helpful,3144.0,1111.0,0.35337150127226463,0.07061068702290077,0.19981998199819984,507.0,285.0,319.0,0.45634563456345634,0.2565256525652565,0.1998199819981998,4 ans,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for the",0.35361216730038025,-0.00024066602811562143,0.45380390744575494,0.2558566669667777,0.3532760814249364,0.19794724047897722
homosex,2845.0,700.0,0.2460456942003515,0.038664323374340934,0.15714285714285708,288.0,201.0,211.0,0.4114285714285714,0.28714285714285714,0.12428571428571429,4 ans,"What about sexual relations between two adults of the same sex--do you think it is always wrong, almost always",0.21102661596958172,0.03501907823076977,0.4134,0.28754285714285716,0.2460456942003515,0.12585714285714283
income,3920.0,1138.0,0.2903061224489796,0.03979591836734692,0.1370826010544815,358.0,271.0,509.0,0.3145869947275923,0.23813708260105448,0.07644991212653779,4 ans,"In which of these groups did your total family income, from all sources, fall last year before taxes, that is?",0.3659695817490495,-0.0756634593000699,0.28964850615114235,0.24543057996485063,0.2903061224489796,0.04421792618629172
jobfind,1503.0,683.0,0.45442448436460414,0.1317365269461078,0.28989751098096633,313.0,115.0,255.0,0.4582723279648609,0.1683748169838946,0.28989751098096633,4 ans,About how easy would it be for you to find a job with another employer with approximately the same income and ,0.29562737642585546,0.15879710793874868,0.44693997071742314,0.1752562225475842,0.45442448436460414,0.271683748169839
joblose,1509.0,672.0,0.44532803180914515,0.09940357852882704,0.22321428571428573,340.0,190.0,142.0,0.5059523809523809,0.28273809523809523,0.22321428571428573,4 ans,"Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off--v",0.22148288973384034,0.22384514207530481,0.5037515631513131,0.29696897516822485,0.445142478462558,0.20678258798308824
kidssol,3038.0,1729.0,0.5691244239631337,0.06978275181040157,0.12261422787738574,467.0,373.0,889.0,0.2700983227299017,0.21573163678426838,0.05436668594563331,4 ans,"When your children are at the age you are now, do you think their standard of living will be much better, some",0.438212927756654,0.13091149620647968,0.310133024869867,0.22421052631578947,0.5691244239631337,0.08592249855407752
letdie1,2242.0,444.0,0.19803746654772525,0.01694915254237289,0.08558558558558564,241.0,203.0,0.0,0.5427927927927928,0.4572072072072072,0.08558558558558559,4 ans,"When a person has a disease that cannot be cured, do you think Doctors should be allowed by law to end the pat",0.10076045627376429,0.09727701027396096,0.5344618494188984,0.43981808994441635,0.17653880463871544,0.09464375947448206
libcom/y,2983.0,644.0,0.2158900435802883,0.027489104927924914,0.1273291925465839,363.0,281.0,0.0,0.5636645962732919,0.4363354037267081,0.12732919254658384,4 ans,We would like to ask you some questions about a self-identified Communist. Suppose this person wrote a book wh,0.1644486692015209,0.05144137437876739,0.5497512437810945,0.4371634975805902,0.19675494468655716,0.11258774620050432
libhomo/y,3020.0,506.0,0.1675496688741722,0.021192052980132447,0.12648221343873514,285.0,221.0,0.0,0.5632411067193676,0.4367588932806324,0.12648221343873517,4 ans,If somebody in your community suggests that a book the gay person wrote in favor of homosexuality should be ta,0.10551330798479086,0.06203636088938133,0.5531330319950368,0.42883098466719843,0.14944370860927153,0.1243020473278384
librac/y,2988.0,794.0,0.2657295850066934,0.040829986613119144,0.15365239294710328,352.0,442.0,0.0,0.4433249370277078,0.5566750629722922,-0.11335012594458438,4 ans,Consider a person who believes that Blacks are genetically inferior. If some people in your community suggeste,0.2538022813688213,0.011927303637872089,0.5444640013410443,0.43019584835023605,0.23957831325301204,0.11426815299080828
life,3045.0,950.0,0.31198686371100165,0.057142857142857134,0.18315789473684208,495.0,321.0,134.0,0.5210526315789473,0.33789473684210525,0.1831578947368421,4 ans,"In general, do you find life exciting, pretty routine, or dull?",0.2157794676806084,0.09620739603039324,0.5256364060281057,0.3571080353547129,0.3098784893267652,0.16852837067339277
nataid/y,4416.0,1433.0,0.3245018115942029,0.06136775362318843,0.18911374738311243,726.0,455.0,252.0,0.5066294487090021,0.31751570132588974,0.18911374738311235,4 ans,"Are we spending too much, too little, or about the right amount on ""assistance to other countries""?",0.18346007604562742,0.14104173554857546,0.49961615231076306,0.3184819172843125,0.3244701086956522,0.18113423502645054
natarms/y,4460.0,1973.0,0.4423766816143498,0.08475336322869954,0.19158641662442977,856.0,478.0,639.0,0.43385707045108973,0.2422706538266599,0.1915864166244298,4 ans,"Are we spending too much, too little, or about the right amount on ""national defense""?",0.25095057034220536,0.19142611127214443,0.4203077796476146,0.25413110034265324,0.4423408071748879,0.16617667930496138
natchld,4157.0,1628.0,0.39162857830165987,0.06013952369497233,0.15356265356265353,800.0,612.0,216.0,0.4914004914004914,0.3759213759213759,0.11547911547911548,4 ans,"Are we spending too much, too little, or about the right amount on ""assistance for childcare""?",0.2566539923954373,0.13497458590622258,0.5182915574587471,0.37758253657696234,0.39098869376954537,0.14070902088178477
natcity/y,3922.0,1805.0,0.46022437531871496,0.05252422233554309,0.11412742382271468,734.0,528.0,543.0,0.4066481994459834,0.2925207756232687,0.11412742382271468,4 ans,"Are we spending too much, too little, or about the right amount on ""assistance to big cities""?",0.3631178707224335,0.09710650459628145,0.4010083102493075,0.29674238227146815,0.46022437531871496,0.10426592797783935
natdrug/y,4325.0,1733.0,0.40069364161849713,0.031213872832369954,0.07789959607616852,765.0,630.0,338.0,0.44143104443162146,0.363531448355453,0.07789959607616849,4 ans,"Are we spending too much, too little, or about the right amount on ""drug rehabilitation""?",0.279467680608365,0.12122596101013211,0.3858316790545219,0.3333987350537833,0.40066589595375723,0.05243294400073861
nateduc/y,4603.0,1200.0,0.2606995437757984,0.007386487073647624,0.028333333333333342,397.0,536.0,267.0,0.3308333333333333,0.44666666666666666,-0.11583333333333333,4 ans,"Are we spending too much, too little, or about the right amount on ""education""?",0.19106463878326996,0.06963490499252845,0.35139145949010386,0.399696530105214,0.2605822289810993,-0.048305070615110135
natenvir/y,2211.0,749.0,0.3387607417458164,0.09045680687471733,0.26702269692923897,347.0,240.0,162.0,0.46328437917222964,0.3204272363150868,0.14285714285714285,4 ans,"Are we spending too much, too little, or about the right amount on ""improving and protecting the environment""?",0.18631178707224338,0.152448954673573,0.49291595380667236,0.26577202737382377,0.33838082315694257,0.2271439264328486
natfare/y,4468.0,1658.0,0.3710832587287377,0.06356311548791405,0.17129071170084437,604.0,443.0,611.0,0.36429433051869725,0.267189384800965,0.0971049457177322,4 ans,"Are we spending too much, too little, or about the right amount on ""assistance to the poor""?",0.19581749049429653,0.17526576823444118,0.3812034065960578,0.23397428164732562,0.3710743061772605,0.14722912494873217
natheal/y,4511.0,1707.0,0.37840833518066946,0.10729328308579028,0.28353837141183363,912.0,428.0,367.0,0.5342706502636204,0.2507322788517868,0.28353837141183363,4 ans,"Are we spending too much, too little, or about the right amount on ""health""?",0.2262357414448669,0.15217259373580255,0.5319398228429488,0.2605099123588133,0.3783994679671913,0.2714299104841355
natmass,4279.0,1637.0,0.38256602009815377,0.054218275297966814,0.1417226634086744,782.0,563.0,292.0,0.4777031154551008,0.34392180818570556,0.13378130726939524,4 ans,"Are we spending too much, too little, or about the right amount on ""mass transportation""?",0.2718631178707225,0.11070290222743129,0.46211695076915554,0.34929932255618873,0.3822294928721664,0.11281762821296681
natpark,4534.0,1616.0,0.35641817379797086,0.021835024261138054,0.06126237623762373,625.0,526.0,465.0,0.38675742574257427,0.3254950495049505,0.06126237623762376,4 ans,"Are we spending too much, too little, or about the right amount on ""parks and recreation""?",0.282319391634981,0.07409878216298987,0.42432682220112905,0.39136733776290156,0.3531892368769299,0.03295948443822749
natrace/y,3866.0,1427.0,0.36911536471805484,0.05664769787894464,0.15346881569726697,654.0,435.0,338.0,0.4583041345480028,0.30483531885073584,0.153468815697267,4 ans,"Are we spending too much, too little, or about the right amount on ""assistance to blacks""?",0.23859315589353614,0.1305222088245187,0.4378661646318333,0.3097067873048878,0.36822038282462494,0.1281593773269455
natroad,4516.0,1758.0,0.38928255093002656,0.046944198405668734,0.12059158134243458,686.0,474.0,598.0,0.3902161547212742,0.2696245733788396,0.12059158134243458,4 ans,"Are we spending too much, too little, or about the right amount on ""highways and bridges""?",0.2775665399239544,0.11171601100607215,0.4163118952760387,0.33486624928856007,0.38906111603188664,0.08144564598747861
natsci,4225.0,1859.0,0.44,0.05112426035502959,0.11619150080688542,882.0,666.0,311.0,0.4744486282947821,0.35825712748789673,0.11619150080688542,4 ans,"Are we spending too much, too little, or about the right amount on ""supporting scientific research""?",0.2965779467680608,0.14342205323193918,0.4801266040823357,0.35862544139178365,0.43970650887573964,0.12150116269055206
natsoc,4383.0,1411.0,0.3219256217202829,0.05658224960073008,0.1757618710134656,749.0,501.0,161.0,0.5308291991495393,0.3550673281360737,0.17576187101346563,4 ans,"Are we spending too much, too little, or about the right amount on ""social security""?",0.22243346007604559,0.0994921616442373,0.5242000709471444,0.3642568286626463,0.3215833903718914,0.15994324228449808
natspac/y,4255.0,1683.0,0.3955346650998825,0.07497062279670977,0.18954248366013077,685.0,366.0,632.0,0.40701128936423053,0.21746880570409982,0.1895424836601307,4 ans,"Are we spending too much, too little, or about the right amount on ""space exploration""?",0.2709125475285171,0.12462211757136538,0.39439216759258156,0.2410273491869,0.39511633372502936,0.15336481840568156
news,3096.0,1581.0,0.5106589147286822,0.08010335917312664,0.15686274509803924,476.0,263.0,842.0,0.3010752688172043,0.16635041113219481,0.1347248576850095,4 ans,"How often do you read the newspaper--every day, a few times a week, once a week, less than once a week, or nev",0.33460076045627374,0.17605815427240845,0.34871600253004426,0.22624920936116383,0.5106589147286822,0.12246679316888043
owngun,2661.0,368.0,0.13829387448327696,0.018414130026305885,0.13315217391304338,190.0,146.0,32.0,0.5163043478260869,0.3967391304347826,0.11956521739130435,4 ans,Do you happen to have in your home (or garage) any guns or revolvers?,0.053231939163498,0.08506193531977896,0.4702558989697574,0.40002215575495736,0.13569334836527622,0.07023374321480003
parsol,3115.0,1620.0,0.5200642054574639,0.04847512038523277,0.09320987654320993,490.0,364.0,766.0,0.30246913580246915,0.22469135802469137,0.07777777777777778,4 ans,"Compared to your parents when they were the age you are now, do you think your own standard of living now is m",0.47148288973384034,0.048581315723623564,0.29534567901234565,0.24,0.5200642054574639,0.05534567901234566
partfull,2893.0,535.0,0.18492913930176288,0.014863463532665057,0.08037383177570094,289.0,246.0,0.0,0.5401869158878505,0.45981308411214955,0.08037383177570094,4 ans,"When you worked in the previous year, was it usually full or part time?",0.1796577946768061,0.005271344624956792,0.5464948155492213,0.4446647663898872,0.1673487729001037,0.10183004915933408
pillok,2556.0,1403.0,0.548904538341158,0.04460093896713615,0.08125445473984319,382.0,427.0,594.0,0.2722736992159658,0.30434782608695654,-0.03207412687099073,4 ans,"Do you strongly agree, agree, disagree, or strongly disagree that methods of birth control should be available",0.344106463878327,0.20479807446283105,0.29878831076265144,0.2666999287241625,0.548904538341158,0.03208838203848896
