configuration,ancrage,camp,enonce,libelle,n_personnes,modele_second_ordre,reel,croyance_humaine_endo,croyance_humaine_exo,d_reel,d_endo,d_exo,plancher,modele_soutien_simule
demographics_only__gpt41_mini,ideologie,centre,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,582,69.48453608247422,61.613216715257536,44.22852233676976,,7.871319367216685,25.256013745704465,,15.1786941580756,100.0
demographics_only__gpt41_mini,ideologie,centre,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,582,76.72680412371135,66.47230320699708,48.24570446735395,,10.254500916714264,28.481099656357394,,15.621993127147766,100.0
demographics_only__gpt41_mini,ideologie,centre,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,582,64.39003436426117,73.46938775510205,56.84192439862543,,9.079353390840879,7.548109965635739,,16.18041237113402,92.09621993127148
demographics_only__gpt41_mini,ideologie,centre,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",582,62.31099656357388,75.94752186588921,59.4106529209622,,13.636525302315334,2.9003436426116807,,16.551546391752577,93.6426116838488
demographics_only__gpt41_mini,ideologie,centre,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,582,71.58934707903781,66.22934888241011,45.44158075601374,,5.3599981966277,26.147766323024065,,16.34536082474227,99.82817869415808
demographics_only__gpt41_mini,ideologie,centre,7,A law that requires companies to provide paid family leave for parents,582,73.72852233676976,78.71720116618076,67.23024054982818,,4.9886788294110005,6.498281786941575,,15.81786941580756,100.0
demographics_only__gpt41_mini,ideologie,centre,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,582,59.00343642611684,74.39261418853256,65.27319587628865,,15.38917776241572,6.2697594501718115,,17.080756013745706,86.42611683848797
demographics_only__gpt41_mini,ideologie,centre,11,Increasing deportations for those in the US illegally,582,35.60996563573883,45.09232264334305,57.761168384879724,,9.482357007604222,22.151202749140893,,14.6340206185567,0.0
demographics_only__gpt41_mini,ideologie,centre,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,582,36.950171821305844,53.88726919339164,59.106529209621996,,16.937097372085795,22.156357388316152,,16.847079037800686,0.0
demographics_only__gpt41_mini,ideologie,droite,1,Placing a tax on carbon emissions,567,67.36331569664902,62.779397473275026,43.39506172839506,51.233223322332236,4.583918223373999,23.96825396825396,16.13009237431679,14.36331569664903,99.64726631393297
demographics_only__gpt41_mini,ideologie,droite,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,567,64.1358024691358,61.613216715257536,41.85537918871252,44.63036303630363,2.5225857538782606,22.28042328042328,19.50543943283217,16.02821869488536,100.0
demographics_only__gpt41_mini,ideologie,droite,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,567,69.39153439153439,66.47230320699708,42.74955908289242,51.11771177117712,2.91923118453731,26.641975308641975,18.273822620357272,15.462081128747796,100.0
demographics_only__gpt41_mini,ideologie,droite,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,567,43.07760141093475,73.46938775510205,49.070546737213405,58.394939493949394,30.3917863441673,5.992945326278658,15.317338083014647,16.530864197530864,25.044091710758376
demographics_only__gpt41_mini,ideologie,droite,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",567,47.645502645502646,75.94752186588921,57.22574955908289,59.114411441144114,28.30201922038657,9.580246913580247,11.468908795641468,16.673721340388006,35.09700176366843
demographics_only__gpt41_mini,ideologie,droite,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,567,60.3968253968254,66.22934888241011,40.32275132275132,48.66446644664467,5.832523485584709,20.074074074074076,11.732358950180732,15.957671957671957,91.005291005291
demographics_only__gpt41_mini,ideologie,droite,7,A law that requires companies to provide paid family leave for parents,567,64.37389770723104,78.71720116618076,62.439153439153436,67.1012101210121,14.34330345894972,1.9347442680776012,2.727312413781064,15.843033509700176,99.82363315696648
demographics_only__gpt41_mini,ideologie,droite,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,567,40.925925925925924,74.39261418853256,56.864197530864196,65.31903190319032,33.46668826260664,15.938271604938272,24.393105977264398,17.350970017636683,24.691358024691358
demographics_only__gpt41_mini,ideologie,droite,11,Increasing deportations for those in the US illegally,567,31.393298059964728,45.09232264334305,66.11463844797179,50.759075907590756,13.699024583378325,34.72134038800706,19.365777847626028,15.437389770723104,2.1164021164021163
demographics_only__gpt41_mini,ideologie,droite,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,567,31.966490299823633,53.88726919339164,59.22927689594356,51.014301430143014,21.920778893568006,27.26278659611993,19.04781113031938,17.372134038800706,0.0
demographics_only__gpt41_mini,parti,gauche,1,Placing a tax on carbon emissions,847,78.51829988193624,62.779397473275026,52.03305785123967,44.75925925925926,15.738902408661218,26.485242030696575,33.759040622676984,13.53482880755608,100.0
demographics_only__gpt41_mini,parti,gauche,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,847,75.47225501770956,61.613216715257536,45.701298701298704,42.992592592592594,13.85903830245202,29.770956316410853,32.47966242511696,15.514757969303425,100.0
demographics_only__gpt41_mini,parti,gauche,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,847,82.43211334120426,66.47230320699708,51.44391971664699,45.224074074074075,15.959810134207174,30.98819362455727,37.20803926713018,14.711924439197167,100.0
demographics_only__gpt41_mini,parti,gauche,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,847,80.67296340023613,73.46938775510205,58.96340023612751,50.67407407407408,7.20357564513408,21.709563164108616,29.99888932616205,15.001180637544273,99.76387249114522
demographics_only__gpt41_mini,parti,gauche,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",847,76.20425029515938,75.94752186588921,59.468713105076745,58.26111111111111,0.2567284292701686,16.73553719008264,17.94313918404827,15.65879574970484,99.76387249114522
demographics_only__gpt41_mini,parti,gauche,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,847,80.6965761511216,66.22934888241011,48.75796930342385,41.32222222222222,14.467227268711497,31.938606847697756,39.37435392889938,15.099173553719009,100.0
demographics_only__gpt41_mini,parti,gauche,7,A law that requires companies to provide paid family leave for parents,847,83.5478158205431,78.71720116618076,67.70247933884298,63.50370370370371,4.830614654362336,15.845336481700116,20.044112116839386,13.147579693034238,100.0
demographics_only__gpt41_mini,parti,gauche,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,847,73.63046044864227,74.39261418853256,65.97638724911452,58.22962962962963,0.7621537398902944,7.654073199527744,15.40083081901264,15.894923258559622,99.76387249114522
demographics_only__gpt41_mini,parti,gauche,11,Increasing deportations for those in the US illegally,847,28.376623376623378,45.09232264334305,50.85242030696576,65.30740740740741,16.715699266719675,22.475796930342383,36.93078403078403,15.412042502951595,0.0
demographics_only__gpt41_mini,parti,gauche,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,847,29.00826446280992,53.88726919339164,52.50767414403778,59.82037037037037,24.87900473058172,23.49940968122786,30.81210590756045,15.565525383707202,0.0
demographics_only__gpt41_mini,parti,centre,1,Placing a tax on carbon emissions,609,73.0623973727422,62.779397473275026,44.88834154351396,,10.282999899467171,28.174055829228237,,13.047619047619047,100.0
demographics_only__gpt41_mini,parti,centre,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,609,69.72906403940887,61.613216715257536,42.01313628899836,,8.115847324151332,27.715927750410508,,14.773399014778326,100.0
demographics_only__gpt41_mini,parti,centre,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,609,76.85550082101807,66.47230320699708,45.95238095238095,,10.383197614020986,30.90311986863712,,15.727422003284072,100.0
demographics_only__gpt41_mini,parti,centre,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,609,65.78817733990148,73.46938775510205,54.64367816091954,,7.681210415200567,11.144499178981938,,14.776683087027914,91.13300492610837
demographics_only__gpt41_mini,parti,centre,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",609,63.48111658456486,75.94752186588921,58.0328407224959,,12.466405281324356,5.448275862068961,,15.394088669950738,93.92446633825944
demographics_only__gpt41_mini,parti,centre,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,609,72.20032840722496,66.22934888241011,44.78489326765189,,5.970979524814851,27.41543513957307,,14.697865353037766,99.3431855500821
demographics_only__gpt41_mini,parti,centre,7,A law that requires companies to provide paid family leave for parents,609,74.44991789819376,78.71720116618076,65.8128078817734,,4.267283267986997,8.637110016420365,,14.954022988505747,100.0
demographics_only__gpt41_mini,parti,centre,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,609,60.59934318555008,74.39261418853256,63.17733990147783,,13.793271002982479,2.577996715927746,,15.520525451559934,87.52052545155993
demographics_only__gpt41_mini,parti,centre,11,Increasing deportations for those in the US illegally,609,34.86863711001642,45.09232264334305,58.399014778325125,,10.22368553332663,23.530377668308702,,13.412151067323482,0.0
demographics_only__gpt41_mini,parti,centre,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,609,35.97701149425287,53.88726919339164,56.6551724137931,,17.910257699138768,20.678160919540232,,16.105090311986864,0.0
demographics_only__gpt41_mini,parti,droite,1,Placing a tax on carbon emissions,540,67.55555555555556,62.779397473275026,44.75925925925926,52.03305785123967,4.776158082280531,22.796296296296298,15.522497704315889,13.964814814814815,99.62962962962963
demographics_only__gpt41_mini,parti,droite,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,540,64.37037037037037,61.613216715257536,42.992592592592594,45.701298701298704,2.7571536551128304,21.377777777777773,18.669071669071663,15.977777777777778,100.0
demographics_only__gpt41_mini,parti,droite,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,540,69.75925925925925,66.47230320699708,45.224074074074075,51.44391971664699,3.2869560522621697,24.535185185185178,18.315339542612264,15.327777777777778,100.0
demographics_only__gpt41_mini,parti,droite,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,540,42.53703703703704,73.46938775510205,50.67407407407408,58.96340023612751,30.93235071806501,8.13703703703704,16.426363199090474,16.52777777777778,23.51851851851852
demographics_only__gpt41_mini,parti,droite,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",540,47.4537037037037,75.94752186588921,58.26111111111111,59.468713105076745,28.493818162185512,10.80740740740741,12.015009401373042,16.774074074074075,32.77777777777778
demographics_only__gpt41_mini,parti,droite,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,540,60.46296296296296,66.22934888241011,41.32222222222222,48.75796930342385,5.766385919447146,19.14074074074074,11.704993659539113,16.43148148148148,91.11111111111111
demographics_only__gpt41_mini,parti,droite,7,A law that requires companies to provide paid family leave for parents,540,64.66666666666667,78.71720116618076,63.50370370370371,67.70247933884298,14.050534499514086,1.1629629629629648,3.0358126721763057,15.753703703703703,99.81481481481481
demographics_only__gpt41_mini,parti,droite,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,540,40.22222222222222,74.39261418853256,58.22962962962963,65.97638724911452,34.17039196631034,18.007407407407406,25.754165026892302,17.555555555555557,21.296296296296298
demographics_only__gpt41_mini,parti,droite,11,Increasing deportations for those in the US illegally,540,30.944444444444443,45.09232264334305,65.30740740740741,50.85242030696576,14.14787819889861,34.36296296296297,19.90797586252132,15.714814814814815,2.2222222222222223
demographics_only__gpt41_mini,parti,droite,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,540,31.5,53.88726919339164,59.82037037037037,52.50767414403778,22.38726919339164,28.32037037037037,21.00767414403778,16.944444444444443,0.0
json_persona__gpt41,ideologie,gauche,1,Placing a tax on carbon emissions,909,61.45104510451045,62.779397473275026,51.233223322332236,43.39506172839506,1.3283523687645769,10.217821782178213,18.055983376115385,12.886688668866887,99.77997799779979
json_persona__gpt41,ideologie,gauche,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,909,55.66006600660066,61.613216715257536,44.63036303630363,41.85537918871252,5.953150708656878,11.02970297029703,13.80468681788814,15.242024202420241,99.8899889988999
json_persona__gpt41,ideologie,gauche,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,909,59.06600660066007,66.47230320699708,51.11771177117712,42.74955908289242,7.4062966063370155,7.948294829482947,16.31644751776765,14.646864686468646,99.77997799779979
json_persona__gpt41,ideologie,gauche,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,909,68.0924092409241,73.46938775510205,58.394939493949394,49.070546737213405,5.376978514177949,9.697469746974704,19.021862503710693,14.049504950495049,99.55995599559955
json_persona__gpt41,ideologie,gauche,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",909,70.3047304730473,75.94752186588921,59.114411441144114,57.22574955908289,5.642791392841914,11.190319031903186,13.078980913964408,15.19031903190319,99.66996699669967
json_persona__gpt41,ideologie,gauche,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,909,64.27392739273927,66.22934888241011,48.66446644664467,40.32275132275132,1.9554214896708402,15.6094609460946,23.951176069987945,14.608360836083609,99.44994499449945
json_persona__gpt41,ideologie,gauche,7,A law that requires companies to provide paid family leave for parents,909,76.77667766776678,78.71720116618076,67.1012101210121,62.439153439153436,1.940523498413981,9.675467546754675,14.33752422861334,12.672167216721672,99.66996699669967
json_persona__gpt41,ideologie,gauche,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,909,60.082508250825086,74.39261418853256,65.31903190319032,56.864197530864196,14.310105937707476,5.236523652365236,3.21831071996089,15.112211221122113,99.44994499449945
json_persona__gpt41,ideologie,gauche,11,Increasing deportations for those in the US illegally,909,41.25192519251925,45.09232264334305,50.759075907590756,66.11463844797179,3.840397450823801,9.507150715071504,24.862713255452533,14.911991199119912,0.0
json_persona__gpt41,ideologie,gauche,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,909,37.776677667766776,53.88726919339164,51.014301430143014,59.22927689594356,16.110591525624862,13.237623762376238,21.452599228176787,15.005500550055006,0.0
json_persona__gpt41,ideologie,centre,1,Placing a tax on carbon emissions,582,56.393470790378004,62.779397473275026,46.71649484536083,,6.385926682897022,9.676975945017176,,13.847079037800688,81.61512027491409
json_persona__gpt41,ideologie,centre,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,582,50.77491408934708,61.613216715257536,44.22852233676976,,10.838302625910458,6.546391752577321,,15.1786941580756,85.2233676975945
json_persona__gpt41,ideologie,centre,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,582,52.18041237113402,66.47230320699708,48.24570446735395,,14.291890835863065,3.9347079037800654,,15.621993127147766,81.27147766323024
json_persona__gpt41,ideologie,centre,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,582,57.57560137457045,73.46938775510205,56.84192439862543,,15.893786380531601,0.7336769759450164,,16.18041237113402,67.69759450171821
json_persona__gpt41,ideologie,centre,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",582,60.20618556701031,75.94752186588921,59.4106529209622,,15.741336298878906,0.7955326460481089,,16.551546391752577,82.9896907216495
json_persona__gpt41,ideologie,centre,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,582,54.39518900343643,66.22934888241011,45.44158075601374,,11.83415987897368,8.953608247422686,,16.34536082474227,73.3676975945017
json_persona__gpt41,ideologie,centre,7,A law that requires companies to provide paid family leave for parents,582,65.51202749140893,78.71720116618076,67.23024054982818,,13.205173674771828,1.718213058419252,,15.81786941580756,90.03436426116839
json_persona__gpt41,ideologie,centre,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,582,52.68384879725086,74.39261418853256,65.27319587628865,,21.708765391281702,12.589347079037793,,17.080756013745706,78.00687285223368
json_persona__gpt41,ideologie,centre,11,Increasing deportations for those in the US illegally,582,44.86082474226804,45.09232264334305,57.761168384879724,,0.23149790107500934,12.90034364261168,,14.6340206185567,10.824742268041238
json_persona__gpt41,ideologie,centre,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,582,39.539518900343644,53.88726919339164,59.106529209621996,,14.347750293047994,19.567010309278352,,16.847079037800686,0.5154639175257731
json_persona__gpt41,ideologie,droite,1,Placing a tax on carbon emissions,567,40.82010582010582,62.779397473275026,43.39506172839506,51.233223322332236,21.959291653169203,2.5749559082892404,10.413117502226413,14.36331569664903,7.760141093474426
json_persona__gpt41,ideologie,droite,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,567,35.261022927689595,61.613216715257536,41.85537918871252,44.63036303630363,26.35219378756794,6.594356261022924,9.369340108614033,16.02821869488536,17.989417989417987
json_persona__gpt41,ideologie,droite,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,567,33.435626102292765,66.47230320699708,42.74955908289242,51.11771177117712,33.03667710470432,9.313932980599652,17.682085668884355,15.462081128747796,7.583774250440917
json_persona__gpt41,ideologie,droite,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,567,30.871252204585538,73.46938775510205,49.070546737213405,58.394939493949394,42.59813555051651,18.199294532627867,27.523687289363856,16.530864197530864,1.9400352733686066
json_persona__gpt41,ideologie,droite,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",567,34.239858906525576,75.94752186588921,57.22574955908289,59.114411441144114,41.70766295936364,22.985890652557316,24.874552534618537,16.673721340388006,6.878306878306878
json_persona__gpt41,ideologie,droite,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,567,29.38095238095238,66.22934888241011,40.32275132275132,48.66446644664467,36.84839650145773,10.941798941798943,19.283514065692287,15.957671957671957,1.9400352733686066
json_persona__gpt41,ideologie,droite,7,A law that requires companies to provide paid family leave for parents,567,38.96296296296296,78.71720116618076,62.439153439153436,67.1012101210121,39.754238203217795,23.476190476190474,28.13824715804914,15.843033509700176,51.49911816578483
json_persona__gpt41,ideologie,droite,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,567,28.527336860670193,74.39261418853256,56.864197530864196,65.31903190319032,45.86527732786237,28.336860670194003,36.79169504252013,17.350970017636683,5.291005291005291
json_persona__gpt41,ideologie,droite,11,Increasing deportations for those in the US illegally,567,47.81834215167549,45.09232264334305,66.11463844797179,50.759075907590756,2.726019508332435,18.296296296296298,2.940733755915268,15.437389770723104,63.13932980599647
json_persona__gpt41,ideologie,droite,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,567,33.47089947089947,53.88726919339164,59.22927689594356,51.014301430143014,20.41636972249217,25.758377425044095,17.543401959243546,17.372134038800706,8.641975308641975
json_persona__gpt41,parti,gauche,1,Placing a tax on carbon emissions,847,61.26328217237308,62.779397473275026,52.03305785123967,44.75925925925926,1.5161153009019444,9.230224321133413,16.504022913113822,13.53482880755608,99.29161747343565
json_persona__gpt41,parti,gauche,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,847,55.50059031877214,61.613216715257536,45.701298701298704,42.992592592592594,6.112626396485396,9.799291617473436,12.507997726179546,15.514757969303425,99.64580873671783
json_persona__gpt41,parti,gauche,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,847,58.8642266824085,66.47230320699708,51.44391971664699,45.224074074074075,7.608076524588583,7.420306965761512,13.640152608334425,14.711924439197167,99.29161747343565
json_persona__gpt41,parti,gauche,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,847,67.69775678866588,73.46938775510205,58.96340023612751,50.67407407407408,5.771630966436163,8.734356552538372,17.023682714591807,15.001180637544273,98.34710743801654
json_persona__gpt41,parti,gauche,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",847,69.81582054309327,75.94752186588921,59.468713105076745,58.26111111111111,6.131701322795948,10.347107438016522,11.554709431982154,15.65879574970484,99.29161747343565
json_persona__gpt41,parti,gauche,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,847,63.828807556080285,66.22934888241011,48.75796930342385,41.32222222222222,2.4005413263298223,15.070838252656436,22.506585333858062,15.099173553719009,98.34710743801654
json_persona__gpt41,parti,gauche,7,A law that requires companies to provide paid family leave for parents,847,76.28571428571429,78.71720116618076,67.70247933884298,63.50370370370371,2.4314868804664655,8.583234946871315,12.782010582010585,13.147579693034238,99.64580873671783
json_persona__gpt41,parti,gauche,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,847,59.96340023612751,74.39261418853256,65.97638724911452,58.22962962962963,14.42921395240505,6.012987012987011,1.7337706064978846,15.894923258559622,99.17355371900827
json_persona__gpt41,parti,gauche,11,Increasing deportations for those in the US illegally,847,41.40850059031877,45.09232264334305,50.85242030696576,65.30740740740741,3.6838220530242793,9.443919716646988,23.898906817088637,15.412042502951595,0.47225501770956313
json_persona__gpt41,parti,gauche,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,847,38.01770956316411,53.88726919339164,52.50767414403778,59.82037037037037,15.869559630227528,14.489964580873668,21.80266080720626,15.565525383707202,0.0
json_persona__gpt41,parti,centre,1,Placing a tax on carbon emissions,609,56.75205254515599,62.779397473275026,44.88834154351396,,6.027344928119035,11.86371100164203,,13.047619047619047,81.9376026272578
json_persona__gpt41,parti,centre,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,609,51.07881773399015,61.613216715257536,42.01313628899836,,10.534398981267387,9.065681444991789,,14.773399014778326,85.38587848932676
json_persona__gpt41,parti,centre,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,609,52.49096880131363,66.47230320699708,45.95238095238095,,13.981334405683455,6.5385878489326785,,15.727422003284072,81.60919540229885
json_persona__gpt41,parti,centre,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,609,58.27093596059113,73.46938775510205,54.64367816091954,,15.198451794510916,3.6272577996715896,,14.776683087027914,68.80131362889983
json_persona__gpt41,parti,centre,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",609,61.0311986863711,75.94752186588921,58.0328407224959,,14.916323179518116,2.9983579638752005,,15.394088669950738,83.2512315270936
json_persona__gpt41,parti,centre,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,609,55.24466338259442,66.22934888241011,44.78489326765189,,10.98468549981569,10.459770114942529,,14.697865353037766,73.39901477832512
json_persona__gpt41,parti,centre,7,A law that requires companies to provide paid family leave for parents,609,66.36288998357963,78.71720116618076,65.8128078817734,,12.354311182601123,0.5500821018062396,,14.954022988505747,90.47619047619048
json_persona__gpt41,parti,centre,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,609,53.016420361247945,74.39261418853256,63.17733990147783,,21.376193827284617,10.160919540229884,,15.520525451559934,78.65353037766832
json_persona__gpt41,parti,centre,11,Increasing deportations for those in the US illegally,609,44.54022988505747,45.09232264334305,58.399014778325125,,0.5520927582855819,13.858784893267654,,13.412151067323482,10.344827586206897
json_persona__gpt41,parti,centre,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,609,39.252873563218394,53.88726919339164,56.6551724137931,,14.634395630173245,17.40229885057471,,16.105090311986864,0.8210180623973727
json_persona__gpt41,parti,droite,1,Placing a tax on carbon emissions,540,40.32962962962963,62.779397473275026,44.75925925925926,52.03305785123967,22.449767843645397,4.4296296296296305,11.70342822161004,13.964814814814815,6.296296296296296
json_persona__gpt41,parti,droite,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,540,34.82222222222222,61.613216715257536,42.992592592592594,45.701298701298704,26.790994493035313,8.170370370370371,10.879076479076481,15.977777777777778,15.925925925925927
json_persona__gpt41,parti,droite,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,540,33.044444444444444,66.47230320699708,45.224074074074075,51.44391971664699,33.42785876255264,12.17962962962963,18.399475272202544,15.327777777777778,6.111111111111111
json_persona__gpt41,parti,droite,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,540,30.194444444444443,73.46938775510205,50.67407407407408,58.96340023612751,43.274943310657605,20.479629629629635,28.76895579168307,16.52777777777778,1.4814814814814816
json_persona__gpt41,parti,droite,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",540,33.5462962962963,75.94752186588921,58.26111111111111,59.468713105076745,42.40122556959292,24.714814814814815,25.922416808780447,16.774074074074075,4.814814814814815
json_persona__gpt41,parti,droite,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,540,28.58888888888889,66.22934888241011,41.32222222222222,48.75796930342385,37.64045999352122,12.733333333333334,20.16908041453496,16.43148148148148,1.8518518518518516
json_persona__gpt41,parti,droite,7,A law that requires companies to provide paid family leave for parents,540,38.28703703703704,78.71720116618076,63.50370370370371,67.70247933884298,40.43016412914372,25.21666666666667,29.41544230180594,15.753703703703703,49.629629629629626
